"Title:","All Employees from the Current Employment Statistics Database"
"SubTitle:","USA - Seasonally Adjusted: Non-Seasonally Adjusted"
"Time:","01/1939 - 10/2022"
"Unit of Measure:","#","#","#","#","#","#","#","#","#"
"Citation:","Bureau of Labor Statistics (2022-11-10). Current Employment Statistics: All Employees | Construction | Information | N/A Construction | 236 Construction of buildings | 237 Heavy and civil engineering construction | 2373 Highway, street, and bridge construction | 511 Publishing industries, except Internet | 5112 Software publishers | 512 Motion picture and sound recording industries | 515 Broadcasting, except Internet | 518 Data processing, hosting and related services | Non-Seasonally Adjusted, 01/1939 - 10/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  002-021-001 doi:https://doi.org/10.6068/DP184A0C1638753"
"ColumnCount:",10
"RowCount:",1006

"Time","Construction, N/A Construction, Non-Seasonally Adjusted, (000)","Construction, 236 Construction of buildings, Non-Seasonally Adjusted, (000)","Construction, 237 Heavy and civil engineering construction, Non-Seasonally Adjusted, (000)","Construction, 2373 Highway, street, and bridge construction, Non-Seasonally Adjusted, (000)","Information, 511 Publishing industries, except Internet, Non-Seasonally Adjusted, (000)","Information, 5112 Software publishers, Non-Seasonally Adjusted, (000)","Information, 512 Motion picture and sound recording industries, Non-Seasonally Adjusted, (000)","Information, 515 Broadcasting, except Internet, Non-Seasonally Adjusted, (000)","Information, 518 Data processing, hosting and related services, Non-Seasonally Adjusted, (000)"
"03/1990",4989000,1370500,727300,229600,864500,94200,245400,283500,215500
"04/1990",5174000,1389600,790100,271600,865300,94800,247600,283400,214100
"05/1990",5370000,1429600,849300,311700,868200,96800,251900,283600,210100
"06/1990",5523000,1474700,877900,331900,873700,98800,260300,283700,210600
"07/1990",5580000,1483400,885000,339000,874600,100100,266200,284300,210600
"08/1990",5581000,1478700,891400,343700,874100,101100,271800,284700,207900
"09/1990",5487000,1452600,886100,340300,872500,100500,254200,284700,208000
"10/1990",5379000,1421500,873700,330200,874100,100600,254600,284800,208700
"11/1990",5208000,1374600,826500,299600,877500,101600,259600,284300,209600
"12/1990",4963000,1327400,753300,249400,878300,102500,262700,284000,211200
"01/1991",4530000,1235500,652000,189600,873700,104300,256000,283200,212400
"02/1991",4451000,1210900,657200,197600,870200,104900,256600,282800,212600
"03/1991",4485000,1210700,676100,209000,868000,105500,256500,282100,212100
"04/1991",4666000,1230500,741700,249600,865300,105600,256900,281300,212600
"05/1991",4853000,1261400,798100,288800,865800,106700,258200,281500,209900
"06/1991",4990000,1293700,818500,308500,864800,108900,265600,281200,211400
"07/1991",5053000,1308100,821700,313400,861300,110000,267500,281000,213200
"08/1991",5073000,1309900,827200,316700,857900,109900,271800,281200,212900
"09/1991",5011000,1286500,831000,313700,856700,110000,255900,279800,212100
"10/1991",4939000,1264500,820400,306800,857600,110200,251900,279300,213000
"11/1991",4751000,1225700,763300,271900,858900,110700,255300,280600,214800
"12/1991",4562000,1197900,701700,231900,860200,111900,255000,280300,216700
"01/1992",4235000,1136400,620200,187200,854300,111900,249900,278200,216300
"02/1992",4146000,1115100,614100,185900,850000,111300,248100,278000,219000
"03/1992",4231000,1117100,645100,203100,849600,112000,252600,277700,220900
"04/1992",4450000,1140400,710600,247100,851200,112200,250500,278300,220000
"05/1992",4663000,1176400,773700,289000,850900,112600,254300,279200,215500
"06/1992",4791000,1212200,791200,304900,854100,114600,259400,280300,216200
"07/1992",4869000,1238200,794800,310500,854900,115700,260100,280000,216900
"08/1992",4918000,1252400,801700,314200,853100,114600,259400,279300,217900
"09/1992",4861000,1236700,802800,312400,853500,113700,245900,280700,219100
"10/1992",4853000,1234900,805100,305700,855500,114700,252100,280800,221900
"11/1992",4730000,1209900,760800,276400,860200,115500,257300,281700,225200
"12/1992",4544000,1177800,689700,229900,863100,116600,262200,282000,226300
"01/1993",4233000,1126300,601000,181100,862100,120200,258700,281400,225000
"02/1993",4247000,1128300,615400,190800,864200,121000,254900,281700,226800
"03/1993",4287000,1130900,634300,202900,864800,121800,252000,282100,225200
"04/1993",4542000,1172300,697500,245900,867000,122500,253700,283700,224600
"05/1993",4816000,1221700,768400,292800,870200,123800,254600,283300,222500
"06/1993",4968000,1262000,798400,313500,873700,125400,262100,284300,222400
"07/1993",5085000,1288200,808700,322100,876300,127700,264200,284900,222600
"08/1993",5138000,1292900,815400,326200,877800,128800,267700,284900,221700
"09/1993",5094000,1279900,817200,324200,876000,128700,256300,284300,220700
"10/1993",5105000,1288000,816700,318700,877000,129800,258000,285300,219900
"11/1993",5012000,1279100,780500,293100,882000,130200,262500,285600,224000
"12/1993",4826000,1259500,707700,239500,885800,131200,270400,286500,224900
"01/1994",4500000,1200000,629700,192100,884600,132500,264600,286200,223600
"02/1994",4454000,1183000,624700,187900,885100,133100,269800,286600,223400
"03/1994",4602000,1213300,654100,205500,885400,133000,274600,287900,223300
"04/1994",4905000,1257600,733800,256600,885700,132700,275300,287600,225400
"05/1994",5149000,1297700,796600,298800,887100,133100,273800,288000,224000
"06/1994",5316000,1338300,820500,313100,890700,134700,279500,289300,224600
"07/1994",5430000,1359800,837700,325100,892700,137000,281000,290000,225500
"08/1994",5469000,1370900,840900,328900,893400,137700,287600,291000,226100
"09/1994",5444000,1361100,844500,326400,892500,140600,273700,292100,227500
"10/1994",5412000,1360000,832900,315800,893900,140400,279100,292600,230000
"11/1994",5336000,1347700,800400,291500,896400,142300,289400,294000,233500
"12/1994",5124000,1319900,725100,240100,904900,144500,292500,295800,235400
"01/1995",4788000,1259400,646200,196300,900000,145800,289400,292900,234300
"02/1995",4716000,1235900,641900,195600,902000,148000,301700,294300,237900
"03/1995",4857000,1252900,679500,218000,904500,150700,302800,296300,241300
"04/1995",5097000,1286000,749600,263800,905900,152500,308800,295100,243300
"05/1995",5283000,1313600,798300,296500,906400,153700,309400,296500,242600
"06/1995",5472000,1356300,831800,319400,912900,157000,312100,297200,240200
"07/1995",5571000,1377900,845800,328300,914300,159300,321500,297100,241300
"08/1995",5615000,1385000,852600,331500,912700,161200,320900,299400,242900
"09/1995",5589000,1373400,859500,331500,912100,163000,312800,300100,243100
"10/1995",5584000,1374200,853200,322500,913600,162700,313200,301300,244600
"11/1995",5468000,1358600,806700,292800,920000,165100,318800,302400,248600
"12/1995",5249000,1331700,731100,241500,924500,167400,321200,304500,250800
"01/1996",4907000,1271700,643500,197900,917600,167700,319100,304200,247300
"02/1996",4943000,1270100,662300,206600,919300,169000,323300,304900,250500
"03/1996",5066000,1293800,701300,225700,920100,169600,330900,306200,251200
"04/1996",5322000,1334700,770500,268900,919000,170000,331000,306700,252200
"05/1996",5561000,1376800,829300,306200,920800,170400,335300,307700,250500
"06/1996",5753000,1424900,862100,328700,924900,171700,340700,309200,249300
"07/1996",5872000,1444100,878000,337800,928800,174700,346700,309400,248600
"08/1996",5913000,1452300,885300,343100,930300,177500,345700,310800,251300
"09/1996",5872000,1435900,884700,340500,929600,178600,333000,310900,250500
"10/1996",5867000,1432700,880000,332900,934000,180700,332700,313000,253300
"11/1996",5775000,1423800,838200,304300,939000,182900,337000,312700,258300
"12/1996",5576000,1402100,765700,257500,942400,184700,340600,312900,261200
"01/1997",5232000,1343800,686100,208800,938200,186200,339100,311100,261700
"02/1997",5260000,1342600,699900,216200,941500,188900,341400,311700,263000
"03/1997",5376000,1358800,730900,234700,944800,190700,343500,312500,266400
"04/1997",5614000,1393800,795700,275500,948400,192200,341500,312700,268500
"05/1997",5855000,1430700,861700,320200,951100,192500,347700,312900,269700
"06/1997",6017000,1471800,881000,334400,959700,195600,358400,312200,270600
"07/1997",6137000,1497300,893200,342800,962000,196900,365200,311800,269000
"08/1997",6172000,1499600,901700,346600,959400,196600,371300,312000,267800
"09/1997",6127000,1478700,905600,347500,959100,199000,354700,312600,267500
"10/1997",6117000,1480800,900000,339200,962500,200400,352800,314800,269500
"11/1997",6013000,1471800,854100,304800,967200,200600,355400,316400,272600
"12/1997",5838000,1455100,789300,259500,972300,203200,364700,315700,274900
"01/1998",5544000,1405600,713700,213900,969900,205300,361200,314500,272100
"02/1998",5542000,1398000,720000,218200,973200,207600,369000,315300,272600
"03/1998",5602000,1407400,747700,232800,974400,210000,368200,317700,275000
"04/1998",5919000,1455300,831900,287800,978000,212100,364200,318900,276800
"05/1998",6147000,1494000,897000,331300,978700,212800,370200,319800,279800
"06/1998",6356000,1551200,926100,348400,985600,215800,367600,322200,282500
"07/1998",6496000,1584200,943600,360500,990000,220100,380200,321900,283200
"08/1998",6541000,1588400,951400,365300,987700,219100,380700,323500,283700
"09/1998",6468000,1559800,945500,361600,983300,218100,365500,325800,284900
"10/1998",6490000,1568800,945600,356200,984800,218200,365200,325200,289700
"11/1998",6410000,1554900,908500,328400,990000,219000,367200,324400,294700
"12/1998",6277000,1538200,853100,291500,991900,220100,374200,325100,298200
"01/1999",5912000,1484900,760300,238700,990100,224800,365300,324600,298300
"02/1999",5972000,1488300,770700,243600,994800,228400,375900,324800,301500
"03/1999",6042000,1497700,795300,260400,995300,229600,375000,325600,304200
"04/1999",6355000,1538200,887600,323900,993900,231200,375400,326500,306900
"05/1999",6569000,1573700,938600,360300,998200,232700,391200,327400,307400
"06/1999",6777000,1629200,972200,380600,1003900,234900,398300,328400,307800
"07/1999",6904000,1660600,984400,389500,1009300,238000,401600,328500,309100
"08/1999",6912000,1654400,988300,392400,1011000,238500,399300,330300,308900
"09/1999",6854000,1635300,987800,389800,1012200,239600,382200,332100,308300
"10/1999",6850000,1635900,984400,385400,1013100,239000,381900,333200,308800
"11/1999",6792000,1629400,952000,361600,1016700,240800,381800,335000,312000
"12/1999",6596000,1608000,882600,309400,1019200,242700,385400,336800,312300
"01/2000",6322000,1571200,812000,265200,1015900,243900,377300,336900,314100
"02/2000",6284000,1563600,806200,262700,1019400,246000,380200,338600,313300
"03/2000",6457000,1588000,850400,288800,1023300,250200,381100,339900,315400
"04/2000",6643000,1603400,913100,330200,1025200,253800,380100,342000,319100
"05/2000",6817000,1632500,963300,362600,1027300,256700,385400,341300,315600
"06/2000",7012000,1680200,995000,377800,1040700,261800,391700,343200,316300
"07/2000",7108000,1699000,1005900,383200,1044400,266900,397000,345300,314800
"08/2000",7113000,1691400,1013600,387200,1044400,269600,397900,345600,314900
"09/2000",7036000,1664900,1007000,384700,1041600,269100,374100,347200,312800
"10/2000",7030000,1662400,1006700,379700,1042200,268400,370700,346600,314400
"11/2000",6915000,1634500,969400,352800,1046700,269300,373800,347600,319300
"12/2000",6703000,1598900,901500,306300,1049300,271500,382100,347600,318800
"01/2001",6394000,1530300,829700,263400,1043800,274100,377000,345900,319900
"02/2001",6397000,1527100,833000,264200,1041900,276200,379800,346500,319700
"03/2001",6518000,1529600,872500,288300,1041400,278100,383200,346100,323100
"04/2001",6688000,1549200,926400,328600,1033600,275900,368000,345800,320700
"05/2001",6901000,1586100,982300,369500,1031000,273900,371100,343800,319300
"06/2001",7076000,1631000,1010600,386900,1029400,271500,382000,344800,316600
"07/2001",7153000,1650200,1023000,392900,1018700,267200,383900,343900,316800
"08/2001",7139000,1643300,1027800,397700,1012100,265600,386900,345900,315300
"09/2001",7052000,1620500,1023600,395000,1005500,265400,364800,343100,313800
"10/2001",7012000,1618400,1013700,386900,1000700,261500,363100,342200,313100
"11/2001",6882000,1600900,977500,360200,995200,258500,375200,343600,311100
"12/2001",6698000,1580600,915600,315700,994600,258600,387100,343700,312300
"01/2002",6363000,1520400,841400,272900,983900,259200,375200,338800,312200
"02/2002",6339000,1509800,842300,274900,977200,257200,374700,335900,311000
"03/2002",6416000,1518600,861500,292300,971500,255700,383500,335900,309800
"04/2002",6563000,1531600,907400,329100,967200,255200,383600,332700,309800
"05/2002",6749000,1571100,957500,363500,962700,254500,389300,333500,306500
"06/2002",6924000,1611000,989500,385000,964300,255400,399700,335500,303900
"07/2002",6984000,1619700,990400,391300,965100,256200,396900,333200,302100
"08/2002",7001000,1630100,994100,397800,960500,253600,402900,333000,302100
"09/2002",6935000,1610400,987500,394200,955500,251000,377200,331200,299200
"10/2002",6892000,1604200,980700,384900,954800,249900,389300,331400,299700
"11/2002",6810000,1601100,939800,358100,953200,246100,395800,333700,296500
"12/2002",6613000,1569300,875600,306200,953700,245400,386700,334900,294500
"01/2003",6293000,1514400,802900,263500,937300,245300,378600,327700,286800
"02/2003",6224000,1500900,793900,260100,937700,243300,363800,324900,286100
"03/2003",6319000,1510600,811600,274600,935000,240500,367000,326300,286900
"04/2003",6534000,1540700,866900,317900,928800,239300,364700,325500,286700
"05/2003",6767000,1576900,928100,365900,924100,238300,374700,324100,283900
"06/2003",6951000,1614400,958800,378500,925700,239500,383400,324400,281100
"07/2003",7029000,1616000,968500,386500,922900,238700,388100,323500,279900
"08/2003",7062000,1622700,977700,392000,920300,238700,382300,322200,277200
"09/2003",7015000,1616300,973800,387500,914600,236800,369600,323700,273400
"10/2003",6989000,1615700,961400,382100,914800,235400,366200,321300,273300
"11/2003",6903000,1598800,926500,358600,917700,235600,383000,322600,273100
"12/2003",6729000,1582600,867000,313600,919100,235600,392600,325000,271900
"01/2004",6431000,1535000,796300,268500,907900,234400,377100,321100,265600
"02/2004",6392000,1523200,783900,262100,908600,234500,377100,322500,266600
"03/2004",6551000,1547700,817700,284300,909200,234700,374000,323800,269400
"04/2004",6778000,1574400,880400,335000,908300,234800,375300,323100,270500
"05/2004",7012000,1622900,929500,371300,908100,235400,394000,324600,269900
"06/2004",7194000,1666400,957400,386200,912800,236800,405600,326000,270100
"07/2004",7292000,1686700,969300,391600,911600,237300,407600,325000,268400
"08/2004",7311000,1683400,977400,394700,910400,238200,390200,325400,264300
"09/2004",7249000,1679900,972000,391700,907900,237000,373100,325600,264000
"10/2004",7286000,1694300,976300,389800,906400,235500,382100,326500,264700
"11/2004",7205000,1682000,945300,370800,910500,236100,382900,326900,266600
"12/2004",7012000,1664500,883300,317500,907900,235600,380600,329200,265200
"01/2005",6682000,1615200,809900,268500,899400,234900,359800,326900,263600
"02/2005",6699000,1616200,810600,267800,901700,233400,355900,324300,263400
"03/2005",6838000,1627600,841900,285800,903500,235200,363600,325300,265500
"04/2005",7128000,1657600,915300,339200,898800,234000,377300,324300,265500
"05/2005",7360000,1693800,973200,372900,898100,233500,385500,324100,264300
"06/2005",7574000,1740800,1022100,401900,906700,238700,385700,328500,263100
"07/2005",7652000,1756000,1028400,403000,909000,240200,386900,330200,259600
"08/2005",7704000,1769500,1033700,404500,908100,241700,389000,330600,259900
"09/2005",7645000,1757200,1026900,397800,905900,240600,382900,328100,258700
"10/2005",7679000,1770400,1023600,388000,904400,240900,373100,330100,261600
"11/2005",7650000,1775200,1001600,370400,907200,241800,382100,329500,262600
"12/2005",7425000,1762800,927400,309700,906900,240300,388000,330000,262500
"01/2006",7182000,1731600,871700,278800,898600,239200,376900,325400,260400
"02/2006",7218000,1728000,875800,281000,902800,240700,373300,327200,262000
"03/2006",7337000,1750500,898800,293900,903300,240400,376800,327600,265800
"04/2006",7557000,1785000,952300,332600,903200,240100,370100,328700,263600
"05/2006",7779000,1814300,1008400,368600,899600,240100,377200,328100,263200
"06/2006",7945000,1843000,1032500,386100,904600,244500,386400,329500,266100
"07/2006",8013000,1861900,1042000,390200,904400,246300,382300,329400,261200
"08/2006",8045000,1861600,1048000,390500,903800,247500,383600,328900,260800
"09/2006",7952000,1849000,1050400,386400,898200,244700,366100,327900,261400
"10/2006",7909000,1840300,1053300,387600,899500,245900,364300,327200,262200
"11/2006",7772000,1808400,1023100,364200,904100,248300,369500,328400,266900
"12/2006",7585000,1785500,965000,319600,906200,249900,381600,331000,265000
"01/2007",7295000,1739900,902800,284800,899600,248200,364700,326000,261600
"02/2007",7173000,1720400,887400,273000,903400,249200,370500,327900,264000
"03/2007",7353000,1739500,925700,296100,902000,250300,374800,326200,268400
"04/2007",7518000,1746900,978200,329700,898700,250000,381300,327100,270300
"05/2007",7733000,1783600,1033000,365700,900500,252300,392600,325000,272100
"06/2007",7926000,1831800,1066700,382600,905500,255600,398400,326400,270200
"07/2007",7957000,1830600,1068500,384700,905300,259100,386900,324900,270200
"08/2007",7932000,1820400,1067400,385000,902900,260300,383800,325100,267600
"09/2007",7838000,1807500,1065300,383100,895900,259200,379600,326100,267000
"10/2007",7796000,1789700,1063600,380500,899100,259200,373500,323000,266800
"11/2007",7647000,1756600,1036000,359500,900800,258400,378500,323600,267800
"12/2007",7390000,1723400,970700,309300,901100,261500,383100,321600,267200
"01/2008",7053000,1665600,893600,271900,894200,258200,362400,318900,263200
"02/2008",6983000,1639300,890500,269800,894500,259700,372800,318500,265400
"03/2008",7047000,1650700,909300,285200,891800,259600,380800,317900,264700
"04/2008",7160000,1650000,947900,317200,890000,260400,378900,317400,265100
"05/2008",7324000,1669000,1002300,354200,885500,261900,383900,319000,266400
"06/2008",7425000,1687100,1020900,364500,886200,264800,391800,318900,262300
"07/2008",7448000,1689800,1025600,370000,883700,266700,375600,319700,258200
"08/2008",7435000,1685000,1023500,369100,878400,268000,371200,318500,256900
"09/2008",7305000,1641700,1016800,365400,872000,267500,360000,318100,256300
"10/2008",7208000,1621800,1003500,356500,869600,265100,359300,319100,256000
"11/2008",6945000,1571500,957000,326600,862300,265100,362800,320400,255300
"12/2008",6612000,1529400,883500,277500,857000,266500,355600,317400,253600
"01/2009",6154000,1428800,807400,238000,834600,261900,333000,312200,248800
"02/2009",6000000,1388100,799700,239400,827200,260300,351100,308500,248600
"03/2009",5950000,1363900,808000,252500,819000,259100,360200,306500,250800
"04/2009",6009000,1356800,842800,282500,809600,258000,358600,302700,253000
"05/2009",6139000,1373500,881100,309300,797700,255600,356600,301000,250700
"06/2009",6202000,1384200,891600,320400,794400,258300,363300,299800,249400
"07/2009",6203000,1382000,897600,327400,789900,259800,360600,296600,247300
"08/2009",6158000,1374200,900200,330900,782200,257400,360500,295000,247900
"09/2009",6036000,1340500,891500,326600,779200,256400,356400,296100,247100
"10/2009",5958000,1329300,874100,315700,774700,255100,361500,296100,245700
"11/2009",5822000,1302300,847300,300800,774000,254800,367800,296500,245300
"12/2009",5566000,1262200,774000,252600,774600,255600,362000,295200,246900
"01/2010",5197000,1187300,711000,218200,766400,255100,343300,292600,241900
"02/2010",5088000,1162700,699100,212900,761700,255400,366300,293200,243600
"03/2010",5213000,1186300,735000,236500,761500,257300,365400,293500,243600
"04/2010",5418000,1213600,804300,281700,759800,258300,374300,291600,246500
"05/2010",5561000,1237700,840600,305100,758100,258300,383400,289600,244800
"06/2010",5698000,1262700,869200,320700,758700,260600,376300,289700,243200
"07/2010",5763000,1269500,881100,322800,760100,262800,380500,289000,241800
"08/2010",5819000,1275100,901600,338200,760200,263700,382000,289400,239800
"09/2010",5733000,1259600,899500,331600,755600,263200,367500,289000,240900
"10/2010",5733000,1253200,899800,324100,755300,264200,364800,289400,242100
"11/2010",5628000,1237800,875800,307100,756100,265100,370100,289900,242800
"12/2010",5369000,1210600,784200,245400,755000,266200,368500,286900,244700
"01/2011",5046000,1152800,710400,211800,748400,264500,347200,284000,240500
"02/2011",5049000,1141100,714700,214100,749200,265400,352100,283700,241200
"03/2011",5158000,1162100,744900,236000,748000,266200,360400,282000,243700
"04/2011",5364000,1182400,812400,275000,748500,266700,361600,281500,246700
"05/2011",5556000,1208300,859000,301500,745700,267600,372300,280600,247800
"06/2011",5728000,1252200,885500,317500,750200,270500,370900,283200,246400
"07/2011",5808000,1261600,893800,322400,751800,273500,364000,282800,245200
"08/2011",5845000,1274200,902400,328800,749700,274300,372800,282400,244900
"09/2011",5817000,1272400,906300,327900,746300,274200,354700,283400,245200
"10/2011",5808000,1273700,911300,325900,748700,275900,354500,285000,247300
"11/2011",5707000,1253800,883500,309600,748000,277600,365900,284900,250700
"12/2011",5512000,1230000,817600,264700,749200,279800,369300,285000,250500
"01/2012",5237000,1180400,752300,231300,737700,278300,333300,283800,245900
"02/2012",5219000,1177100,754400,228900,738400,279900,370000,283300,248700
"03/2012",5313000,1181500,785400,246700,737900,280900,359100,287100,251600
"04/2012",5488000,1198300,844300,279900,737800,281900,364600,286900,252900
"05/2012",5651000,1230700,879100,307200,735700,282000,386100,286600,254700
"06/2012",5825000,1265100,908500,325900,739400,286800,373600,286700,254700
"07/2012",5893000,1279500,927600,333400,742800,290100,373300,284000,254600
"08/2012",5926000,1284100,942500,337500,744000,293300,376400,282500,257400
"09/2012",5885000,1273800,942100,335300,741800,292400,348700,284600,255500
"10/2012",5888000,1280500,938900,331800,741300,293000,341900,283700,258800
"11/2012",5788000,1272300,903200,306700,739200,293200,367800,285000,260300
"12/2012",5634000,1258900,841500,267800,738100,293700,353300,286400,263700
"01/2013",5353000,1208700,773800,231600,732100,293100,315700,284400,263000
"02/2013",5386000,1212600,783800,232400,731000,290700,377600,285000,264300
"03/2013",5501000,1226100,801700,243400,733100,294100,369500,285100,265000
"04/2013",5677000,1246800,850300,271400,733300,294600,363400,285500,267100
"05/2013",5871000,1275900,904800,308600,731100,297200,386800,282200,269000
"06/2013",6042000,1307700,934400,329400,732400,301100,376200,284200,270700
"07/2013",6119000,1325600,942800,332800,736000,305000,390500,281900,271600
"08/2013",6152000,1325400,955400,338200,734800,305800,363900,281600,272400
"09/2013",6128000,1323600,958000,335400,732000,303600,361000,283200,271400
"10/2013",6139000,1338400,954300,328100,731400,302800,368800,284200,272400
"11/2013",6056000,1329600,919800,306400,731700,303300,395800,284600,272600
"12/2013",5842000,1310800,840600,255100,733000,304400,376400,282500,276000
"01/2014",5609000,1272300,786700,227400,725600,304300,355000,280800,273100
"02/2014",5612000,1267900,793500,226300,723800,305100,371500,281000,273300
"03/2014",5746000,1283400,823900,245600,723700,305900,380100,281500,274400
"04/2014",5970000,1314900,884800,281000,724300,308700,379300,282100,276500
"05/2014",6158000,1340800,938300,312500,722200,310300,384600,281500,276000
"06/2014",6321000,1381100,960300,325300,726600,314400,381200,284800,277300
"07/2014",6438000,1408600,971500,331500,730100,320200,386600,284600,280100
"08/2014",6476000,1415000,980300,337100,731300,323200,392900,286700,282000
"09/2014",6450000,1412500,983400,337200,728400,322100,368400,284700,281600
"10/2014",6460000,1413800,983800,328500,727200,322200,376200,281800,284600
"11/2014",6365000,1400700,948800,307300,729800,324800,390700,281800,286600
"12/2014",6205000,1384400,891700,273500,729900,325300,385000,281800,288400
"01/2015",5953000,1351800,826800,239200,723800,325300,359800,278700,289700
"02/2015",5962000,1346300,826600,241500,723300,325400,390700,278400,290800
"03/2015",6051000,1362600,845600,251000,723500,326100,391100,279500,292300
"04/2015",6300000,1380400,917800,299900,723200,327200,398800,279300,294700
"05/2015",6491000,1415100,955800,329100,722000,326500,403500,277200,296700
"06/2015",6633000,1447300,984100,344000,727700,332500,404300,277100,297200
"07/2015",6718000,1470500,995000,349000,729600,337800,408400,276300,298000
"08/2015",6754000,1472300,1006000,350300,728900,341200,411600,274300,297800
"09/2015",6704000,1458200,1000100,347100,729600,341000,397400,276100,298300
"10/2015",6740000,1464800,1004800,346600,727800,342300,406500,274100,298300
"11/2015",6685000,1463100,973800,328100,728500,343200,400600,274100,301200
"12/2015",6542000,1452500,914500,291000,729800,344800,402300,274800,299900
"01/2016",6252000,1415000,838200,249200,727000,347000,375800,271100,294900
"02/2016",6256000,1415300,843100,247100,727100,347700,409200,271900,296100
"03/2016",6402000,1440400,879500,268700,726300,349600,422300,272100,297100
"04/2016",6614000,1467500,945700,314700,726700,351700,430600,271200,301400
"05/2016",6758000,1488100,972500,339800,725700,351400,421900,270100,300700
"06/2016",6913000,1522300,996400,354900,729700,357100,439000,270500,304700
"07/2016",6989000,1539300,1010500,358200,734400,363700,435800,268300,305200
"08/2016",6997000,1538300,1007900,361000,737100,367700,438100,270300,306600
"09/2016",6971000,1533000,1014700,361200,732100,365100,426000,270800,307600
"10/2016",6981000,1539500,1021200,354100,731400,366300,439100,272100,309800
"11/2016",6903000,1520300,986800,338000,732000,366800,445200,269700,308200
"12/2016",6700000,1498800,903200,284400,734300,371500,430700,267900,314100
"01/2017",6459000,1467700,846000,251800,727700,370100,404500,268700,310900
"02/2017",6527000,1474500,877900,261900,728200,371500,431700,268600,311500
"03/2017",6634000,1487300,912200,279700,726500,370400,425900,270800,312600
"04/2017",6820000,1508500,976200,316200,723900,370900,434000,266800,314000
"05/2017",6998000,1538500,1026400,345600,723100,373300,434200,265400,317100
"06/2017",7169000,1573500,1054000,363500,726800,379900,437800,266300,319900
"07/2017",7212000,1584700,1064200,367800,731300,386100,439600,264800,321500
"08/2017",7248000,1590800,1074900,370000,730200,388400,443500,265000,320300
"09/2017",7201000,1580700,1072300,367800,727900,387700,423000,268400,320100
"10/2017",7208000,1587200,1063100,365500,730800,390600,436100,270800,322700
"11/2017",7147000,1579900,1025300,342800,732900,392300,448500,270000,322800
"12/2017",7004000,1569400,964500,300300,733600,393400,431800,270200,322700
"01/2018",6729000,1526400,897800,262700,727800,395400,400300,267600,322500
"02/2018",6840000,1546900,930000,270500,728800,397900,418800,268500,327600
"03/2018",6933000,1565000,960200,287100,730100,399100,424600,271000,329100
"04/2018",7129000,1596000,1020000,325800,728000,400600,443900,270500,330100
"05/2018",7336000,1621100,1076400,363600,730500,405200,448300,269000,332200
"06/2018",7497000,1661400,1107200,381200,738100,415700,446400,270200,335100
"07/2018",7554000,1675700,1119500,387200,742800,422300,452600,267900,333000
"08/2018",7586000,1678500,1126500,387000,745300,427400,457900,269000,331700
"09/2018",7535000,1663900,1127100,381600,745700,428700,435500,271000,331300
"10/2018",7557000,1668600,1127200,375200,745600,429600,455000,269800,334000
"11/2018",7454000,1657600,1086100,352500,749900,435700,459800,272700,333700
"12/2018",7311000,1642800,1029900,320200,749800,438100,452600,270400,332000
"01/2019",7069000,1602800,965900,284600,746600,440100,407600,268400,329100
"02/2019",7062000,1602000,966600,280500,748700,442500,424900,268700,334500
"03/2019",7170000,1615700,996600,293800,750100,445500,433100,268200,336300
"04/2019",7378000,1629600,1066000,336900,752100,448800,435700,266900,335900
"05/2019",7541000,1647600,1109400,369100,755100,454900,440900,265900,336900
"06/2019",7700000,1686400,1133700,382100,767700,467200,452700,266200,339300
"07/2019",7754000,1701600,1136600,387100,772900,474400,452700,264600,347000
"08/2019",7761000,1709100,1144400,389100,774700,479100,447400,264700,349100
"09/2019",7703000,1687900,1148300,387900,777400,482500,430000,266400,348400
"10/2019",7721000,1698200,1151000,384300,774900,482200,434600,267900,352300
"11/2019",7610000,1682500,1114100,361600,779000,487400,449000,268000,354200
"12/2019",7450000,1668900,1053500,325700,778500,487900,444600,266300,355800
"01/2020",7243000,1634400,1002100,294800,777500,492600,408100,261700,360400
"02/2020",7278000,1638700,1007500,299300,783100,499300,426500,264700,362300
"03/2020",7297000,1639100,1021900,307800,784700,502800,421900,260800,362900
"04/2020",6448000,1430600,989500,318300,759100,495200,220400,246500,361300
"05/2020",7063000,1550500,1063700,363500,753300,492900,214900,237400,356800
"06/2020",7350000,1608100,1079900,377200,760100,499000,227900,237900,362000
"07/2020",7410000,1625700,1080700,379500,756600,500400,235200,237500,362000
"08/2020",7443000,1634000,1083000,381700,761400,506000,262300,239900,357500
"09/2020",7400000,1622500,1075900,376200,766500,512000,293700,243700,358100
"10/2020",7482000,1645400,1086600,376200,766900,512800,295600,244300,362800
"11/2020",7385000,1627300,1053900,356100,771000,517100,299100,245400,366100
"12/2020",7282000,1618300,1003200,321800,776300,523100,305800,244300,368300
"01/2021",7033000,1585600,940900,286000,776200,527300,286400,243100,366600
"02/2021",6970000,1579400,928000,275800,779400,529000,306300,246400,372400
"03/2021",7162000,1606500,975500,301100,783900,535700,321100,236900,375100
"04/2021",7322000,1616700,1040300,340900,781900,535600,338400,234900,384800
"05/2021",7432000,1637100,1070200,361900,787900,538800,354400,235700,379700
"06/2021",7557000,1669200,1084500,371900,796000,547500,364700,232000,389000
