"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Type: All Types - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | All Makes | Audi | BMW | Chevrolet | Ford | Honda | Toyota | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845DD351B043"
"ColumnCount:",8
"RowCount:",552

"Time","All Types, All Makes, All Models, All Vehicle Years, #","All Types, Audi, All Models, All Vehicle Years, #","All Types, BMW, All Models, All Vehicle Years, #","All Types, Chevrolet, All Models, All Vehicle Years, #","All Types, Ford, All Models, All Vehicle Years, #","All Types, Honda, All Models, All Vehicle Years, #","All Types, Toyota, All Models, All Vehicle Years, #"
"02/1988",8082,22,34,1664,1378,274,410
"03/1988",9260,16,42,1804,1740,348,432
"04/1988",9808,26,38,2012,1734,428,420
"05/1988",10644,18,38,2022,1928,510,488
"06/1988",11136,10,48,2178,1984,542,472
"07/1988",11648,12,40,2296,2062,524,494
"08/1988",11734,20,52,2318,1950,600,572
"09/1988",11228,26,34,2340,2004,506,478
"10/1988",11568,26,34,2242,2176,436,520
"11/1988",10454,20,40,2198,1918,342,482
"12/1988",11294,24,50,2278,1984,308,578
"01/1989",9020,28,26,1754,1622,288,432
"02/1989",7982,12,20,1618,1446,238,428
"03/1989",9470,10,28,1870,1640,358,492
"04/1989",9576,8,40,1848,1784,402,444
"05/1989",10170,8,50,2014,1824,490,530
"06/1989",10364,10,40,2010,1844,446,490
"07/1989",11218,18,48,2158,1914,576,514
"08/1989",11042,8,26,2152,1946,500,538
"09/1989",10886,12,46,2242,1978,464,524
"10/1989",11154,24,18,2202,1964,416,542
"11/1989",9886,18,34,1922,1858,346,498
"12/1989",10972,10,44,2118,2074,360,542
"01/1990",8770,24,26,1762,1666,248,490
"02/1990",7910,14,24,1480,1436,250,384
"03/1990",9364,18,26,1876,1704,368,502
"04/1990",9296,14,20,1810,1650,408,422
"05/1990",10112,16,54,1942,1812,428,476
"06/1990",10726,14,34,2034,1840,530,544
"07/1990",11324,26,66,2302,2058,574,590
"08/1990",11130,20,34,2164,1964,544,532
"09/1990",10544,14,40,1928,1836,514,470
"10/1990",10176,24,34,1926,1892,390,610
"11/1990",9656,20,42,1858,1772,372,486
"12/1990",9576,14,48,1858,1764,330,576
"01/1991",7338,8,28,1386,1426,192,374
"02/1991",7294,8,38,1434,1378,188,422
"03/1991",8494,18,26,1706,1474,282,508
"04/1991",8142,8,24,1686,1498,354,420
"05/1991",9586,10,36,1826,1764,482,506
"06/1991",10136,26,32,2008,1834,540,462
"07/1991",10310,20,40,1964,1818,486,548
"08/1991",10732,14,30,2066,1912,498,554
"09/1991",9620,8,38,1924,1702,412,476
"10/1991",9762,4,40,1964,1784,358,492
"11/1991",9472,32,30,1814,1764,316,530
"12/1991",8704,24,32,1684,1726,278,476
"01/1992",7598,10,24,1526,1370,216,428
"02/1992",7178,14,38,1450,1314,238,368
"03/1992",7432,12,12,1578,1282,286,384
"04/1992",7762,8,26,1536,1354,314,382
"05/1992",9096,22,46,1790,1512,410,424
"06/1992",9510,14,48,1872,1668,436,454
"07/1992",9340,8,32,1726,1736,382,474
"08/1992",9832,18,44,1922,1818,424,492
"09/1992",8694,10,30,1806,1602,368,422
"10/1992",10104,8,28,2060,1766,402,512
"11/1992",8796,8,18,1710,1646,362,474
"12/1992",9112,14,46,1702,1776,312,518
"01/1993",7498,16,40,1502,1374,240,368
"02/1993",6994,6,18,1322,1234,234,390
"03/1993",7946,14,30,1496,1410,260,400
"04/1993",8102,16,26,1500,1458,334,416
"05/1993",9308,12,34,1826,1674,398,508
"06/1993",9070,12,66,1708,1614,404,522
"07/1993",10202,10,36,1938,1820,492,498
"08/1993",10268,8,36,1958,1734,486,564
"09/1993",9548,10,38,1820,1706,420,474
"10/1993",10300,22,44,1900,1918,392,568
"11/1993",9292,20,46,1722,1794,332,456
"12/1993",9026,12,30,1764,1764,260,520
"01/1994",7634,6,26,1524,1476,254,420
"02/1994",7102,6,26,1344,1340,264,422
"03/1994",8116,12,36,1608,1456,324,418
"04/1994",8720,10,22,1714,1558,378,456
"05/1994",9298,14,36,1698,1740,406,474
"06/1994",9214,16,36,1654,1668,480,484
"07/1994",10052,22,48,1912,1866,460,524
"08/1994",10228,4,44,1818,1882,474,574
"09/1994",9624,4,48,1820,1784,468,496
"10/1994",10372,16,38,2012,1960,412,546
"11/1994",9506,10,22,1748,1868,338,528
"12/1994",9956,16,42,1928,1852,362,540
"01/1995",8298,12,38,1644,1602,244,424
"02/1995",7494,16,18,1464,1444,280,452
"03/1995",8682,10,34,1646,1672,346,470
"04/1995",8582,8,36,1660,1636,388,460
"05/1995",9058,12,36,1664,1746,424,474
"06/1995",9842,14,50,1852,1700,436,554
"07/1995",10122,14,44,1850,1860,492,572
"08/1995",10852,6,52,1950,2002,562,618
"09/1995",10194,18,26,1928,1862,442,514
"10/1995",10590,20,36,2162,2014,452,526
"11/1995",9630,12,32,1728,1882,376,534
"12/1995",9704,18,48,1850,1854,368,542
"01/1996",8414,6,40,1560,1682,300,432
"02/1996",8074,8,36,1504,1512,274,398
"03/1996",8764,12,24,1650,1642,322,498
"04/1996",8952,22,36,1638,1716,376,464
"05/1996",9318,8,34,1746,1718,436,482
"06/1996",10228,10,50,1826,1826,470,578
"07/1996",9590,6,42,1790,1814,446,510
"08/1996",10570,8,32,1974,2008,484,496
"09/1996",9874,8,34,1864,1812,474,570
"10/1996",10606,12,48,1970,1950,486,558
"11/1996",10102,16,42,1970,1870,404,536
"12/1996",10202,14,36,1904,1946,390,578
"01/1997",8752,10,56,1622,1672,276,498
"02/1997",7720,8,26,1404,1546,324,454
"03/1997",8576,12,34,1558,1622,392,476
"04/1997",8734,4,36,1584,1690,354,468
"05/1997",10174,12,34,1794,2018,480,564
"06/1997",9908,4,34,1732,1858,514,538
"07/1997",10252,8,36,1878,2010,542,496
"08/1997",10578,4,38,1956,2038,532,538
"09/1997",9432,4,30,1790,1708,442,474
"10/1997",10318,,48,1928,1938,436,532
"11/1997",9600,14,42,1798,1914,368,524
"12/1997",10076,18,36,1828,2008,338,524
"01/1998",8510,4,44,1534,1616,288,454
"02/1998",7700,16,32,1372,1530,316,458
"03/1998",8508,8,36,1504,1666,324,406
"04/1998",8524,2,38,1532,1646,398,450
"05/1998",9540,10,42,1696,1810,450,522
"06/1998",9544,12,24,1640,1892,446,454
"07/1998",10430,10,52,1782,2016,540,518
"08/1998",10946,12,42,1950,2110,512,606
"09/1998",9826,4,38,1766,1876,540,448
"10/1998",10144,6,48,1794,1944,458,472
"11/1998",9662,10,42,1720,1812,434,566
"12/1998",10510,10,40,2012,2138,362,498
"01/1999",7834,8,30,1450,1516,336,412
"02/1999",7424,8,38,1282,1474,308,426
"03/1999",8686,8,26,1678,1630,358,516
"04/1999",8588,4,38,1464,1644,394,456
"05/1999",9988,10,34,1732,1892,492,482
"06/1999",9636,2,32,1698,1832,446,442
"07/1999",10288,14,48,1710,2010,498,480
"08/1999",10722,12,52,1828,2136,556,496
"09/1999",10050,2,46,1696,1934,482,536
"10/1999",10564,10,60,1912,2150,502,544
"11/1999",9876,10,46,1810,1918,452,522
"12/1999",9984,6,52,1782,2076,452,520
"01/2000",4402,5,19,791,866,170,231
"02/2000",3904,2,16,688,808,185,202
"03/2000",4369,3,14,748,832,196,212
"04/2000",4639,7,24,802,935,261,233
"05/2000",4863,6,19,795,894,258,239
"06/2000",5027,5,25,804,911,285,250
"07/2000",5344,5,17,911,1008,288,277
"08/2000",5289,4,25,853,1016,285,272
"09/2000",5137,2,23,850,956,241,273
"10/2000",5178,4,21,854,977,266,258
"11/2000",4625,3,25,799,865,214,272
"12/2000",4817,4,25,804,966,219,274
"01/2001",4117,2,19,707,795,186,198
"02/2001",3956,4,24,676,745,186,230
"03/2001",4311,5,24,762,813,187,216
"04/2001",4526,4,19,776,832,225,250
"05/2001",5028,10,20,801,924,284,276
"06/2001",4873,4,23,850,896,294,256
"07/2001",5229,3,24,878,997,327,264
"08/2001",5373,6,20,888,996,297,282
"09/2001",4930,6,20,782,940,274,250
"10/2001",5304,7,27,857,974,287,258
"11/2001",5104,4,24,905,972,261,273
"12/2001",5167,5,27,930,1007,273,304
"01/2002",4567,5,20,789,880,231,242
"02/2002",4034,2,24,719,766,194,242
"03/2002",4727,4,20,790,919,255,251
"04/2002",4455,3,24,743,844,240,222
"05/2002",5008,5,22,795,923,296,268
"06/2002",5155,7,21,799,949,312,264
"07/2002",5262,3,29,871,986,321,275
"08/2002",5314,6,22,863,954,353,288
"09/2002",5109,2,28,845,949,291,265
"10/2002",5154,2,28,865,955,237,270
"11/2002",4796,5,19,822,887,243,310
"12/2002",4845,9,21,826,918,217,293
"01/2003",4167,2,18,698,815,188,249
"02/2003",3809,2,9,626,748,201,220
"03/2003",4370,3,22,732,823,230,250
"04/2003",4812,7,23,809,920,316,228
"05/2003",4924,6,25,801,903,269,259
"06/2003",5126,8,23,823,905,300,274
"07/2003",5373,3,30,842,943,321,290
"08/2003",5574,7,36,909,1009,364,280
"09/2003",5070,9,27,755,925,302,291
